price,year,brand,model,color,state,mileage,vin,
14900,2017,chevrolet,equinox,silver,florida,12783,2gnalcek7h1548351,
4140,2017,ford,door,white,texas,17617,1fmcu0gd5huc78080,
11500,2016,ford,door,black,pennsylvania,36855,1fmcu9gx9gua57286,
9110,2017,ford,door,white,texas,110316,1ftfw1ef5hkc50264,
7350,2015,chrysler,door,black,pennsylvania,88227,1c3cccab7fn613884,
24500,2017,bmw,door,gray,michigan,17626,wba4f9c51hg439932,
9300,2017,ford,door,white,texas,120353,1ftfw1ef4hkc50286,
39800,2015,dodge,challenger,white,pennsylvania,3641,2c3cdzc95fh757310,
53500,2017,bmw,m,blue,michigan,29355,5ymkt6c37h0x20696,
15110,2017,ford,door,black,texas,39333,1ft7w2bt7hec41164,
34000,2015,ford,door,white,pennsylvania,42930,1ft8w3b61fec52078,
26502,2017,chevrolet,colorado,black,michigan,24993,1gcgtcen4h1158648,
5990,2017,ford,mpv,black,texas,44929,1fm5k7b86hga87008,
13600,2018,ford,focus,black,south carolina,16971,1fadp3m26jl307477,
23605,2017,cadillac,door,gray,michigan,35598,1gyknbrsxhz114969,
10780,2017,ford,mpv,white,texas,40455,1fm5k8ht0hga07252,
13800,2018,ford,focus,white,south carolina,23164,1fadp3j2xjl279400,
25201,2017,cadillac,door,no_color,michigan,19011,1gyknbrs8hz257399,
7070,2017,ford,mpv,white,texas,45191,1fm5k7d82hgb39148,
8700,2018,ford,focus,white,south carolina,21405,1fadp3k23jl219764,
18003,2017,chevrolet,malibu,no_color,michigan,19117,1g1zh5sx7hf141060,
8530,2017,ford,door,black,texas,42104,1fm5k7f80hga03159,
23100,2018,dodge,durango,white,south carolina,49496,1c4rdjdg2jc329601,
24500,2017,cadillac,door,white,michigan,32418,1gykndrs1hz125239,
7000,2017,ford,mpv,white,texas,29882,1fm5k7d84hgc31359,
17000,2018,ford,escape,gold,south carolina,34819,1fmcu9hd6juc54783,
34002,2017,chevrolet,1500,white,michigan,31923,3gcuktej3hg475034,
6980,2017,ford,mpv,gray,texas,29168,1fm5k7d8xhga68751,
25000,2018,dodge,charger,silver,michigan,28307,2c3cdxjg6jh224431,
20802,2017,chevrolet,colorado,turquoise,michigan,33791,1gcgtben3h1180134,
9200,2017,ford,door,black,texas,21770,1ftew1ep8hfa10123,
26500,2017,chrysler,pacifica,gray,michigan,18375,2c4rc1eg2hr669530,
24802,2017,chevrolet,colorado,gray,michigan,14158,1gcgtcen9h1202076,
7070,2017,ford,mpv,black,texas,30318,1fm5k7d82hgb21314,
28500,2017,ford,door,red,south carolina,48086,1ftew1ep2hkd15978,
47500,2017,cadillac,door,black,michigan,26562,1gys4ckj7hr359884,
23500,2017,ford,explorer,black,south carolina,57611,1fm5k8f80hgc67231,
23505,2017,chevrolet,colorado,black,michigan,47357,1gcptce16h1176629,
10940,2017,ford,door,white,texas,84916,1ftew1ef1hke25038,
32100,2017,ford,f-150,gray,south carolina,24521,1ftfw1eg1hfb38806,
53000,2018,chevrolet,3500,black,washington,16105,1gc4k1ey0jf149152,
6830,2017,ford,mpv,gold,texas,35888,1fm5k7dh9hgb05630,
11900,2017,dodge,caravan,gray,south carolina,59537,2c4rdgcg3hr864989,
26414,2017,chevrolet,1500,black,michigan,55222,3gcukrec3hg429109,
4160,2018,dodge,mpv,gray,florida,32870,3c4pdcab8jt166940,
19405,2017,chevrolet,door,silver,michigan,39687,1gnkvgkd0hj145877,
5690,2018,dodge,mpv,silver,florida,47085,2c4rdgeg8jr337145,
25900,2017,chrysler,van,silver,south carolina,32224,2c4rc1gg4hr635019,
24005,2017,chevrolet,1500,beige,michigan,51293,1gcukrecxhf153500,
5090,2018,dodge,mpv,gray,florida,42989,2c4rdgcg2jr218218,
19500,2017,chrysler,300,gray,arizona,31311,2c3ccabg5hh538726,
32012,2017,chevrolet,1500,white,michigan,46091,3gcuksej6hg353147,
6800,2016,dodge,dart,black,michigan,49033,1c3cdffh0gd823262,
4260,2018,dodge,mpv,gray,florida,33957,3c4pdcabxjt311007,
0,2008,dodge,van,orange,utah,177948,2d8hn44h88r669549,
31802,2017,chevrolet,2500,silver,michigan,19845,1gc1kveg3hf189737,
7210,2018,dodge,doors,black,florida,38910,2c3cdxct1jh233225,
0,2014,dodge,door,silver,utah,123660,1c3cdzab0en111068,
28402,2017,chevrolet,1500,black,michigan,31234,3gcukrec4hg196549,
6800,2018,dodge,doors,gray,florida,36767,2c3cdxhgxjh125388,
33300,2015,cadillac,esv,gray,washington,57932,1gys4tkj0fr538846,
10780,2018,dodge,mpv,white,florida,19420,1c4sdjct1jc174166,
6700,2014,ford,cutaway,beige,pennsylvania,204155,1fdfe4fs7eda23699,
20000,2016,chevrolet,1500,white,washington,93493,3gcuknec9gg342967,
6440,2018,chrysler,doors,gray,florida,20942,2c3ccakg8jh168457,
19900,2016,ford,door,gray,south carolina,86826,1fm5k8f8xggc51519,
37000,2015,chevrolet,door,white,washington,45787,1gc1kwegxff145382,
4040,2018,dodge,mpv,red,florida,50765,3c4pdcab6jt273002,
22300,2016,ford,explorer,black,south carolina,62774,1fm5k8fh9ggc37790,
31200,2011,chevrolet,door,gray,washington,76326,1gc1kxc86bf208814,
4290,2018,dodge,mpv,white,florida,39029,3c4pdcab0jt474412,
22800,2016,ford,el,silver,south carolina,72885,1fmjk1ht3gef52975,
19002,2016,cadillac,door,white,michigan,46467,1g6ah1rx1g0193887,
4160,2018,dodge,mpv,gray,florida,6743,3c4pdcab8jt384019,
18500,2016,ford,edge,white,south carolina,33514,2fmpk3j98gbb59781,
39000,2016,bmw,series,blue,michigan,39917,wba7f2c57gg421020,
6060,2018,dodge,doors,black,florida,32504,3c4pddgg1jt523058,
28800,2016,ford,door,white,south carolina,77638,1ftew1ep1gfc64335,
40000,2016,bmw,series,gray,michigan,31727,wba7f2c55gg415264,
6140,2018,dodge,doors,silver,florida,52966,2c3cdxbg0jh187083,
21000,2016,ford,flex,gray,south carolina,24157,2fmhk6c89gba05297,
20105,2016,buick,door,beige,michigan,51393,5gakvbkd8gj196085,
6760,2018,dodge,doors,white,florida,35461,2c3cdzag7jh321665,
25800,2014,ford,door,brown,pennsylvania,47055,1ft7x2b62eea29551,
39000,2016,bmw,series,black,michigan,33110,wba7f2c57gg419607,
5470,2018,dodge,mpv,black,florida,39721,3c4pdcgg9jt216280,
14600,2014,ford,door,black,pennsylvania,75785,1fm5k8f81egb23411,
24502,2016,chevrolet,1500,black,michigan,33624,3gcuknec6gg150809,
15110,2017,ford,door,white,texas,42289,1ft7w2bt7hec67263,
7900,2014,ford,door,white,new york,79422,1fmcu0g9xeud52262,
27305,2016,chevrolet,door,blue,michigan,28844,3gcukrec5gg383569,
15290,2017,ford,door,white,texas,66582,1ft7w2bt0hef21363,
26500,2015,ford,door,silver,south carolina,61436,1ftew1cf3fke12825,
25502,2016,chevrolet,door,silver,michigan,58303,3gcukrec0gg380000,
7320,2017,ford,mpv,white,texas,55618,1fmzk1cmxhkb51025,
3800,2009,chevrolet,van,white,michigan,261648,1gbhg396191112177,
24502,2016,chevrolet,door,white,michigan,33045,3gcukrec4gg223800,
4140,2017,ford,door,white,texas,40747,3fa6p0h73hr358945,
1400,2002,dodge,pk,black,michigan,185460,1b7hg38n62s587845,
18402,2016,cadillac,srx,gray,michigan,26667,3gyfnae36gs538333,
4160,2017,ford,door,white,texas,37176,3fa6p0hd3hr199785,
175,2000,chrysler,door,red,north carolina,231240,2c3hd46r3yh208325,
24503,2016,chevrolet,colorado,brown,michigan,18006,1gchtde32g1339478,
15840,2017,ford,door,white,texas,72445,1ft7w2bt8hec67434,
20500,2014,ford,door,black,south carolina,123355,1ftfw1et9efb99877,
21003,2016,chevrolet,1500,silver,michigan,44116,1gcvknec1gz396932,
4200,2017,ford,door,red,texas,60219,3fa6p0hd7hr273550,
17400,2011,ford,door,red,georgia,135077,1ftfw1ef1bfa03548,
32001,2016,chevrolet,door,black,michigan,32058,3gcuktec5gg350066,
0,2017,ford,mpv,white,texas,76858,1fbax2cv0hkb32599,
15700,2011,ford,cab,white,south carolina,309564,1fduf5gt8bea80212,
31009,2016,chevrolet,door,white,michigan,33928,3gcuksec3gg369662,
3740,2017,ford,wagon,white,texas,90618,nm0ls7e76h1312963,
5000,2001,dodge,pickup,white,georgia,109360,1b7hc16x01s213315,
31002,2016,chevrolet,door,white,michigan,71809,1gc1kve82gf207345,
3160,2017,ford,doors,gray,texas,31563,1fadp3e24hl348263,
8600,2005,dodge,pickup,gray,south carolina,219823,3d7ks28c15g771945,
6000,2018,chevrolet,malibu,gray,texas,42090,1g1zb5st8jf226848,
12990,2017,ford,door,white,texas,126523,1ft7w2b60hec03964,
25,2020,chevrolet,vehicl,black,kentucky,7232,2gnaxkev6l6128374,
13200,2017,buick,encore,black,texas,60171,kl4cjcsb1hb024411,
4410,2017,ford,wagon,white,texas,209915,nm0ls7e79h1312701,
25,2005,chrysler,door,silver,massachusetts,151815,2c3ja43r35h179032,
22500,2020,chevrolet,camaro,green,georgia,13826,1g1fb1rx6l0109117,
7420,2017,ford,mpv,white,texas,55854,1fmzk1cm1hkb51026,
13500,2016,ford,door,silver,arizona,45757,1fatp8uhxg5296168,
15500,2020,chevrolet,trax,white,georgia,16545,3gncjlsb1ll142267,
3540,2017,ford,door,white,texas,112893,3fa6p0g73hr140652,
17000,2016,ford,door,no_color,florida,126802,1ft7w2b60geb96643,
45500,2020,chevrolet,tahoe,white,georgia,13303,1gnscbkc4lr164829,
4130,2017,ford,door,silver,texas,34061,3fa6p0hd8hr305132,
15700,2015,ford,door,white,arizona,70251,1ftew1cg0ffa89853,
45500,2020,chevrolet,tahoe,gray,georgia,13679,1gnscbkcxlr162857,
4130,2017,ford,doors,gray,texas,42426,3fa6p0lu4hr246569,
15500,2012,dodge,door,black,pennsylvania,66452,1c6rd7lt4cs187334,
16300,2020,chevrolet,trax,white,georgia,18221,3gncjlsb4ll149763,
4530,2017,ford,mpv,white,texas,41455,1fmzk1cm7hkb51015,
15600,2011,dodge,door,black,pennsylvania,35275,1d7rw3gp7bs614101,
45500,2020,chevrolet,tahoe,white,georgia,13885,1gnscbkc6lr159535,
4100,2017,ford,door,gray,texas,38815,3fa6p0hd2hr178393,
18200,2011,dodge,door,white,pennsylvania,162281,3d73y4clxbg535425,
10200,2013,chevrolet,door,black,texas,56479,2g1fc3d32d9188287,
4080,2017,ford,doors,black,texas,61027,3fa6p0luxhr231039,
5700,2014,ford,van,white,florida,178703,1ftss3el7eda50076,
10200,2014,chevrolet,3500,white,texas,173469,1gc3czcg1ef176545,
5000,2017,ford,door,white,texas,37321,3fa6p0k93hr257687,
1700,2014,ford,door,white,florida,112789,1fadp3f20el320177,
6200,2011,bmw,door,gray,texas,80394,wbaph7g58bnn05983,
3650,2016,ford,door,white,texas,68142,1fmcu0f78gub36672,
10500,2014,dodge,door,white,arizona,74203,2c3cdxct3eh230364,
43500,2018,chevrolet,2500,white,georgia,57604,1gc1kwey3jf123662,
4610,2016,dodge,van,silver,texas,87229,2c4rdgbg2gr345223,
3450,2012,ford,door,white,florida,90711,3fahp0ha5cr389742,
38500,2018,chevrolet,suburban,silver,georgia,11135,1gnschkc6jr269601,
6810,2016,ford,mpv,silver,texas,66781,2fmpk3k95gbb76939,
2900,2011,ford,cargo,white,florida,190994,1ftne2ew6bda76057,
43500,2018,chevrolet,2500,white,georgia,56007,1gc1kwey6jf259008,
4450,2016,ford,mpv,white,texas,32486,2fmpk3g96gbc42228,
5800,2011,ford,door,white,florida,195908,1ftew1cm0bfc14625,
16500,2018,chevrolet,equinox,silver,georgia,18020,2gnaxjev9j6276848,
4240,2016,dodge,mpv,white,texas,83262,3c4pdcbb9gt181387,
26500,2008,ford,pickup,white,pennsylvania,62015,1ftxw43r18eb10682,
13700,2017,chevrolet,equinox,silver,georgia,36421,2gnalcek6h6289807,
8600,2016,ford,door,white,texas,73321,1ftew1cf8gkd34592,
8000,2008,ford,chassis,white,florida,132379,1fdxf46r08ea18180,
14200,2017,chevrolet,equinox,silver,georgia,28013,2gnalcek6h6288804,
7040,2016,ford,mpv,silver,texas,33291,2fmpk3k80gbc65759,
4700,2005,ford,chassis,no_color,florida,225236,1fdxf46p35ea79064,
30851,2016,chevrolet,door,red,georgia,43176,3gcuksec6gg284475,
4880,2016,ford,mpv,silver,texas,36876,2fmpk4g97gbc51848,
14500,2006,dodge,pickup,silver,pennsylvania,111782,1d7ks28c96j246101,
7600,2017,chevrolet,door,brown,nebraska,110489,1g1ze5st0hf155999,
13270,2016,ford,door,white,texas,84035,1ft7w2btxgeb64448,
12800,2012,ford,door,gray,arizona,131101,1ftfw1et3cfb01665,
33000,2018,chevrolet,1500,white,ontario,52521,3gcukreh0jg303596,
9280,2016,ford,door,white,texas,101380,1ftfw1ef9gkf57726,
900,2003,ford,van,white,florida,142027,1ftne24293hb19928,
7560,2016,ford,door,gray,texas,111476,1ftfx1ef7gkd59790,
19500,2011,ford,drw,white,pennsylvania,76897,1fd8w3gt0beb32874,
17100,2019,chevrolet,malibu,white,washington,15780,1g1zd5st5kf112138,
8020,2016,ford,door,white,texas,31944,1ftew1cp2gke43168,
10300,2019,ford,fiesta,black,missouri,18937,3fadp4bjxkm123238,
22600,2019,chevrolet,van,white,washington,9706,1gcwgafgxk1243764,
10480,2016,ford,doors,gray,texas,57289,wf0dp3th0g4113219,
10300,2019,ford,fiesta,silver,missouri,19956,3fadp4bj4km123235,
22700,2019,chevrolet,van,white,washington,6075,1gcwgafg4k1252945,
7410,2016,ford,door,gray,texas,21034,1ftex1ep1gfd60365,
10300,2019,ford,fiesta,gray,missouri,22881,3fadp4bj7km123231,
10300,2013,chevrolet,door,gray,washington,167600,1gc4k0cgxdf194396,
7570,2016,ford,door,white,texas,37252,1ftfx1ef0gkf25969,
67000,2019,dodge,challenger,blue,ohio,10944,2c3cdzl97kh518237,
18900,2019,chevrolet,impala,white,texas,27601,1g11z5s37ku129047,
12560,2019,ford,doors,white,florida,15958,1fd8w3ht1kee23298,
33000,2019,dodge,durango,white,ohio,32251,1c4sdjct6kc717612,
18300,2019,chevrolet,impala,black,texas,25809,2g11z5s33k9132248,
11760,2017,ford,cab,white,texas,30553,1fd8w3ht4hed36245,
31700,2019,dodge,durango,red,ohio,26549,1c4sdjct5kc744865,
25,2007,dodge,door,dark blue,minnesota,160528,2b3ka43g87h836300,
0,2000,ford,door,black,oklahoma,124969,1fafp34p7yw270338,
7340,2019,ford,doors,gray,florida,15854,1fatp8uh7k5172626,
8200,2017,hyundai,door,white,connecticut,56690,5npd84lf6hh128808,
3000,2013,kia,door,silver,missouri,97142,knagm4a75d5378293,
6530,2019,jeep,mpv,black,georgia,10185,3c4njdcb3kt659526,
0,2009,mazda,door,gray,indiana,117541,jm3er293590215768,
12700,2019,kia,soul,silver,california,23514,kndjp3a55k7006351,
13800,2017,kia,sorento,gray,north carolina,86959,5xyphda50hg232046,
0,1998,chevrolet,pickup,gray,texas,258631,1gccs1445wk226994,
725,2017,ford,door,gray,virginia,67279,3fa6p0h75hr150081,
7400,2019,ford,doors,gray,florida,16482,1fatp8uh2k5188622,
9800,2017,hyundai,elantra,red,connecticut,35687,kmhd84lf5hu191402,
0,2003,honda,door,white,arkansas,152608,1hgcm56363a030975,
4400,2019,jeep,mpv,green,georgia,17911,3c4njcbbxkt664931,
10330,2019,infiniti,mpv,blue,florida,21278,5n1dl0mm9kc550722,
1800,2011,chevrolet,door,black,arkansas,47269,2g1fb3ddxb9212618,
50,2008,chevrolet,door,blue,texas,172102,1g1al58f787159241,
720,2006,ford,wagon,no_color,florida,26914,1fafp36n06w137851,
22800,2017,ford,door,red,michigan,67217,1ftew1ep3hfb25518,
2500,2017,ford,door,black,california,78698,1fmcu9gd2huc27625,
0,2003,ford,door,gold,kansas,246065,1fafp55u03a242094,
9190,2017,gmc,mpv,black,virginia,41961,1gkknxls3hz174527,
10900,2019,jeep,mpv,red,michigan,13273,1c4hjxeg1kw609998,
10400,2019,infiniti,mpv,black,florida,31713,5n1dl0mm1kc552741,
0,2004,chevrolet,door,maroon,wyoming,0,3gnek12t74g240524,
0,2003,chevrolet,door,gray,texas,194673,1gndt13s632267445,
7320,2008,chevrolet,pickup,silver,florida,325611,1gchk23648f125262,
22809,2017,ford,f-150,black,michigan,50732,1ftfx1ef5hke41700,
0,1998,ford,van,blue,california,186855,2fmda5143wba16791,
0,2013,ford,door,black,minnesota,94004,3fa6p0h74dr270819,
5520,2017,gmc,mpv,silver,virginia,52904,2gkfltek8h6226257,
10900,2019,jeep,mpv,orange,michigan,14195,1c4hjxeg1kw608401,
6330,2019,jeep,mpv,red,florida,43965,1c4pjldbxkd300679,
0,2009,chevrolet,door,black,colorado,117059,kl1td66e39b645208,
25,2010,chevrolet,pickup,white,colorado,149189,3gcrkse37ag234620,
2320,2007,dodge,door,red,florida,112182,2b3ka43g67h630568,
23702,2017,ford,door,black,michigan,49024,1ftew1ep4hkc08477,
0,1994,ford,chassis,green,california,0,1fdee14n7rha47894,
0,1997,ford,door,green,minnesota,203297,1fmdu35p7vub38059,
5520,2017,gmc,mpv,silver,virginia,35821,2gkfltek8h6338184,
4050,2018,heartland,pioneer,gray,pennsylvania,1,5sfpb3326je365727,
14810,2019,infiniti,mpv,brown,florida,32611,jn8az2ne0k9233910,
25,2011,chevrolet,door,white,colorado,105244,1gccsbf97b8118236,
2960,2008,chrysler,van,red,florida,164048,2a8hr54px8r787529,
24800,2017,ford,door,gray,michigan,46955,1ftew1ef3hfc22483,
0,1996,ford,door,green,california,296860,1falp62w5th144314,
0,2006,ford,door,red,illinois,203158,1fmzk04136ga07119,
6270,2017,gmc,mpv,black,virginia,70443,2gkfluek3h6232330,
1880,2012,heartland,trail,white,pennsylvania,1,5sfnb2425ce237109,
10050,2019,infiniti,mpv,gray,florida,18229,5n1dl0mm3kc557634,
225,2014,chevrolet,door,red,colorado,87673,3gcukrec2eg226031,
26900,2018,chevrolet,traverse,black,missouri,42941,1gnevhkw8jj148388,
1420,2007,chrysler,door,gold,florida,104405,1c3lc66m77n591138,
27003,2017,ford,door,black,michigan,57186,1ftew1ef4hfa16802,
0,2002,ford,door,black,south carolina,214800,3fafp37372r151014,
350,2004,ford,door,gray,illinois,236980,1fmfu16lx4la45470,
5600,2017,gmc,mpv,black,virginia,59808,2gkfltek3h6256220,
6680,2011,heartland,country,gray,pennsylvania,1,5sfbg3524be216811,
10120,2019,infiniti,mpv,white,florida,20681,5n1dl0mm2kc556913,
0,2010,chevrolet,door,red,colorado,137422,2cnflnew5a6355858,
3920,2015,ford,door,white,georgia,102700,1ftmf1c85fkd31564,
23100,2017,ford,door,black,michigan,53270,1ftew1epxhfb71427,
0,2004,gmc,door,gold,south carolina,235348,1gket16s646227597,
5630,2017,gmc,mpv,black,virginia,27195,2gkfltek2h6218025,
0,2009,heartland,sundance,white,pennsylvania,1,5sfgf29269e031344,
2800,2019,jaguar,doors,black,florida,20849,sajbd4fx6kcy78964,
0,2008,chevrolet,door,gray,california,159266,2g1wb58kx81220813,
8850,2015,ford,door,black,georgia,143818,1ftew1cf6ffc68843,
18712,2017,ford,f-150,black,michigan,67347,1ftex1e83hfb13813,
0,2009,ford,pickup,blue,tennessee,180364,1ftyr10d19pa60391,
0,2009,ford,door,black,illinois,184889,1fahp35n09w109143,
6300,2017,gmc,mpv,blue,virginia,117400,2gkfluek6h6317310,
2220,2010,heartland,country,white,pennsylvania,1,5sfbg3823ae204868,
6930,2019,jeep,mpv,red,florida,47798,1c4pjmdx4kd197521,
25,2008,chevrolet,door,white,california,130623,1gnfc13j88r167278,
3440,2015,ford,door,white,georgia,124542,1fadp5au3fl108248,
50412,2017,ford,door,black,michigan,47129,1ft7w2bt3hef41039,
